timestamp,log_type,volume,time,sum,sum_per_secs
2025-06-17T19:41:28.320081,async_report_high,75,150,1000,18950,126
2025-06-17T19:41:28.320081,async_report_low,75,150,1000,16254,108
2025-06-17T19:45:47.372964,async_report_high,50,150,1000,17894,119
2025-06-17T19:45:47.372964,async_report_low,50,150,1000,15404,102
2025-06-17T19:46:50.308495,async_report_high,30,150,1000,18298,121
2025-06-17T19:46:50.308495,async_report_low,30,150,1000,15285,101
2025-06-17T19:55:59.405738,async_report_high,100,150,1000,17077,113
2025-06-17T19:55:59.405738,async_report_low,100,150,1000,15142,100
2025-06-17T19:46:50.308495,async_report_high,30,150,1000,18298,121
2025-06-17T19:46:50.308495,async_report_low,30,150,1000,15285,101
2025-06-17T19:56:33.484166,async_report_high,200,150,1000,17114,114
2025-06-17T19:56:33.484166,async_report_low,200,150,1000,15591,103
2025-06-17T20:04:09.584306,native_report,50,150,1000,26568,177
2025-06-17T20:04:34.031880,native_report,50,150,1000,27447,182
2025-06-17T20:07:14.842934,native_report,175,150,1000,24329,162
2025-06-17T20:07:44.137922,native_report,150,150,1000,24725,164
2025-06-17T20:07:50.109200,async_report_high,200,150,1000,17114,114
2025-06-17T20:07:50.109200,async_report_low,200,150,1000,15727,104
2025-06-17T20:10:20.637252,native_report,30,150,1000,26231,174
2025-06-17T20:11:03.068318,native_report,175,150,1000,23231,154
2025-06-17T20:11:24.188963,native_report,125,150,1000,22422,149
2025-06-1 19:46:50,async_report_all,60,150,1000,33583,222
2025-06-1 19:45:47,async_report_all,100,150,1000,33398,221
2025-06-1 19:41:28,async_report_all,150,150,1000,35204,234
2025-06-1 19:55:59,async_report_all,200,150,1000,32219,213
2025-06-1 19:56:33,async_report_all,400,150,1000,32705,217
2025-06-1 20:07:50,async_report_all,400,150,1000,32841,218
2025-06-17T20:11:24.188963,native_report,125,150,1000,22422,149
2025-06-17T20:11:03.068318,native_report,175,150,1000,23231,154
2025-06-17T20:40:26.690833,native_report,50,150,1000,24882,165
2025-06-17T20:39:24.943724,native_report,30,150,1000,27953,1862025-06-21T16:54:49.855538,async_report_high,15,10,1000000,0,0
2025-06-21T16:54:49.855538,async_report_low,15,10,1000000,0,0
